Date,High,Low,Open,Close
2/25/2018,20.16,15.4,15.4,15.4
2/26/2018,20.16,15.4,15.4,15.4
2/27/2018,20.16,15.4,15.4,15.4
2/28/2018,20.16,13.9,15.4,13.9
3/1/2018,20.16,13.9,13.9,13.9
3/2/2018,20.16,13.9,13.9,13.9
3/3/2018,20.16,13.9,13.9,13.9
3/4/2018,20.16,13.9,13.9,13.9
3/5/2018,20.16,13.9,13.9,13.9
3/6/2018,20.16,13.9,13.9,13.9
3/7/2018,20.16,12.52,13.9,12.52
3/8/2018,20.16,12.52,12.52,12.52
3/9/2018,20.16,12.51,12.52,12.51
3/10/2018,20.16,12.5,12.51,12.5
3/11/2018,20.16,12.5,12.5,12.5
3/12/2018,20.16,12.5,12.5,12.5
3/13/2018,20.16,12.5,12.5,12.5
3/14/2018,20.16,12.5,12.5,12.5
3/15/2018,20.16,12.5,12.5,12.5
3/16/2018,20.16,12.5,12.5,12.5
3/17/2018,20.16,12.5,12.5,12.5
3/18/2018,20.16,12.5,12.5,12.5
3/19/2018,20.16,12.5,12.5,12.5
3/20/2018,20.16,12.5,12.5,12.5
3/21/2018,20.16,12.5,12.5,12.5
3/22/2018,20.16,12.5,12.5,12.5
3/23/2018,20.16,12.5,12.5,12.5
3/24/2018,20.16,12.5,12.5,12.5
3/25/2018,20.16,12.5,12.5,12.5
3/26/2018,20.16,12.5,12.5,12.5
3/27/2018,20.16,12.5,12.5,12.63
3/28/2018,20.16,12.5,12.63,12.8
3/29/2018,20.16,12.5,12.8,12.8
3/30/2018,20.16,12.5,12.8,12.8
3/31/2018,20.16,12.5,12.8,12.8
4/1/2018,20.16,12.5,12.8,12.8
4/2/2018,20.16,12.5,12.8,12.8
4/3/2018,20.16,12.5,12.8,12.8
4/4/2018,20.16,12.5,12.8,12.8
4/5/2018,20.16,12.5,12.8,12.8
4/6/2018,20.16,12.5,12.8,12.91
4/7/2018,20.16,12.5,12.91,12.91
4/8/2018,20.16,12.5,12.91,12.91
4/9/2018,20.16,12.5,12.91,12.91
4/10/2018,20.16,12.5,12.91,12.91
4/11/2018,20.16,12.5,12.91,12.91
4/12/2018,20.16,12.5,12.91,12.91
4/13/2018,20.16,12.5,12.91,12.91
4/14/2018,20.16,12.5,12.91,12.91
4/15/2018,20.16,12.5,12.91,12.91
4/16/2018,20.16,12.5,12.91,12.91
4/17/2018,20.16,12.5,12.91,12.91
4/18/2018,20.16,12.5,12.91,12.91
4/19/2018,20.16,12.5,12.91,12.91
4/20/2018,20.16,12.5,12.91,12.91
4/21/2018,20.16,12.5,12.91,13.5
4/22/2018,20.16,12.5,13.5,13.5
4/23/2018,20.16,12.5,13.5,13.5
4/24/2018,20.16,12.5,13.5,13.5
4/25/2018,20.16,12.5,13.5,13.5
4/26/2018,20.16,12.5,13.5,13.5
4/27/2018,20.16,12.5,13.5,13.5
4/28/2018,20.16,12.5,13.5,13.5
4/29/2018,20.16,12.5,13.5,13.5
4/30/2018,20.16,12.5,13.5,13.5
5/1/2018,20.16,12.5,13.5,13.5
5/2/2018,20.16,12.5,13.5,13.5
5/3/2018,20.16,12.5,13.5,13.5
5/4/2018,20.16,12.5,13.5,13.55
5/5/2018,20.16,12.5,13.55,13.55
5/6/2018,20.16,12.5,13.55,13.55
5/7/2018,20.16,12.5,13.55,13.55
5/8/2018,20.16,12.5,13.55,13.56
5/9/2018,20.16,12.5,13.56,13.77
5/10/2018,20.16,12.5,13.77,13.77
5/11/2018,20.16,12.5,13.77,13.77
5/12/2018,20.16,12.5,13.77,15.14
5/13/2018,20.16,12.5,15.14,15.14
5/14/2018,20.16,12.5,15.14,15.14
5/15/2018,20.16,12.5,15.14,16.65
5/16/2018,20.16,12.5,16.65,16.65
